Product,Tile,Link_Opendap_netcdf4,Link_HTTPS_hdf5,Collection,1000m,500m,8day,Daily,NumericalDiff?,DataType_08u,DataType_08s,DataType_16u,DataType_16s,DataType_32u,DataType_32s,are attributes same?
VNP09A1,h29v07,https://opendap.earthdata.nasa.gov/collections/C2519124793-LPCLOUD/granules/VNP09A1.A2023169.h29v07.002.2023179033430.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09A1.002/VNP09A1.A2023169.h29v07.002.2023179033430/VNP09A1.A2023169.h29v07.002.2023179033430.h5,S.N.VIIRS,T,F,T,F,no,,,,,,,
VNP09A1,h10v09,https://opendap.earthdata.nasa.gov/collections/C2519124793-LPCLOUD/granules/VNP09A1.A2023169.h10v09.002.2023179032016.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09A1.002/VNP09A1.A2023169.h10v09.002.2023179032016/VNP09A1.A2023169.h10v09.002.2023179032016.h5,S.N.VIIRS,T,F,T,F,no,,,,,,,
VNP09A1,h18v03,https://opendap.earthdata.nasa.gov/collections/C2519124793-LPCLOUD/granules/VNP09A1.A2023169.h18v03.002.2023179035600.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09A1.002/VNP09A1.A2023169.h18v03.002.2023179035600/VNP09A1.A2023169.h18v03.002.2023179035600.h5,S.N.VIIRS,T,F,T,F,no,,,,,,,
VNP09A1,h21v09,https://opendap.earthdata.nasa.gov/collections/C2519124793-LPCLOUD/granules/VNP09A1.A2023169.h21v09.002.2023179032045.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09A1.002/VNP09A1.A2023169.h21v09.002.2023179032045/VNP09A1.A2023169.h21v09.002.2023179032045.h5,S.N.VIIRS,T,F,T,F,no,,,,,,,
VNP09GA,h10v03,https://opendap.earthdata.nasa.gov/collections/C2631841556-LPCLOUD/granules/VNP09GA.A2023200.h10v03.002.2023201111029.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09GA.002/VNP09GA.A2023200.h10v03.002.2023201111029/VNP09GA.A2023200.h10v03.002.2023201111029.h5,S.N.VIIRS,T,T,F,T,no,,,,,,,
VNP09GA,h10v09,https://opendap.earthdata.nasa.gov/collections/C2631841556-LPCLOUD/granules/VNP09GA.A2023200.h10v09.002.2023201101759.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09GA.002/VNP09GA.A2023200.h10v09.002.2023201101759/VNP09GA.A2023200.h10v09.002.2023201101759.h5,S.N.VIIRS,T,T,F,T,no,,,,,,,
VNP09GA,h18v03,https://opendap.earthdata.nasa.gov/collections/C2631841556-LPCLOUD/granules/VNP09GA.A2023200.h18v03.002.2023201110250.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09GA.002/VNP09GA.A2023200.h18v03.002.2023201110250/VNP09GA.A2023200.h18v03.002.2023201110250.h5,S.N.VIIRS,T,T,F,T,no,,,,,,,
VNP09GA,h21v09,https://opendap.earthdata.nasa.gov/collections/C2631841556-LPCLOUD/granules/VNP09GA.A2023200.h21v09.002.2023201103302.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09GA.002/VNP09GA.A2023200.h21v09.002.2023201103302/VNP09GA.A2023200.h21v09.002.2023201103302.h5,S.N.VIIRS,T,T,F,T,no,,,,,,,
VNP09H1,h10v03,https://opendap.earthdata.nasa.gov/collections/C2519125808-LPCLOUD/granules/VNP09H1.A2023169.h10v03.002.2023179034315.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09H1.002/VNP09H1.A2023169.h10v03.002.2023179034315/VNP09H1.A2023169.h10v03.002.2023179034315.h5,S.N.VIIRS,F,T,T,F,no,,,,,,,
VNP09H1,h10v09,https://opendap.earthdata.nasa.gov/collections/C2519125808-LPCLOUD/granules/VNP09H1.A2023169.h10v09.002.2023179032016.dap.nc4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/VNP09H1.002/VNP09H1.A2023169.h10v09.002.2023179032016/VNP09H1.A2023169.h10v09.002.2023179032016.h5,S.N.VIIRS,F,T,T,F,no,,,,,,,
